member_casual,start_station_name,latitude,longitude,total_rides
casual,Navy Pier,41.892278,-87.612043,32173
casual,DuSable Lake Shore Dr & Monroe St,41.880959531023876,-87.616743577483,31083
casual,Michigan Ave & Oak St,41.900960694200066,-87.623776095128775,22257
casual,DuSable Lake Shore Dr & North Blvd,41.9117221773193,-87.6268040286868,19273
casual,Streeter Dr & Grand Ave,41.892278099127651,-87.612043241410319,18910
casual,Millennium Park,41.881033262269085,-87.624084605963432,18566
casual,Shedd Aquarium,41.867227073673824,-87.615362020028414,16556
casual,Theater on the Lake,41.926276613422061,-87.630835039578045,15635
casual,Dusable Harbor,41.886975553236553,-87.612813259952333,15171
casual,Michigan Ave & 8th St,41.872770787659846,-87.623980355674632,10882
casual,Montrose Harbor,41.963981749925118,-87.638181071436,10482
casual,Adler Planetarium,41.866095772541918,-87.607268604519817,9867
casual,Field Museum,41.865311974986049,-87.617873778607191,9822
casual,Clark St & Lincoln Ave,41.915690192209809,-87.634600169470389,9375
casual,Clark St & Armitage Ave,41.918305959862117,-87.636282775156644,9313
casual,Wabash Ave & Grand Ave,41.891465221468295,-87.626760103780143,9125
casual,Michigan Ave & Washington St,41.883983882772995,-87.624683396762364,9101
casual,Indiana Ave & Roosevelt Rd,41.867889248874384,-87.623041096953756,8972
casual,Wells St & Concord Ln,41.912131957424585,-87.634656724583834,8943
casual,New St & Illinois St,41.890845398320543,-87.618618079466913,8826
casual,Clark St & Elm St,41.902997142797339,-87.631455144658531,8770
casual,Michigan Ave & Lake St,41.886022375229281,-87.624399990493515,8352
casual,LaSalle St & Illinois St,41.890763426641861,-87.631697124884639,7888
casual,DuSable Lake Shore Dr & Diversey Pkwy,41.932587380110455,-87.636427352796716,7876
casual,Wells St & Elm St,41.903220718553776,-87.6343320758805,7855
casual,Columbus Dr & Randolph St,41.88472484005559,-87.619520820390548,7825
casual,McClurg Ct & Ohio St,41.892593620253081,-87.617289378266463,7780
casual,Kingsbury St & Kinzie St,41.889172646279093,-87.638501356155317,7641
casual,Wells St & Huron St,41.894792666976237,-87.634377651482183,7574
casual,DuSable Lake Shore Dr & Belmont Ave,41.940773975998916,-87.639190922777644,7326
casual,Wells St & Hubbard St,41.889908574372576,-87.63426886608066,7228
casual,State St & Chicago Ave,41.896616230831782,-87.628580983647083,7078
casual,Wilton Ave & Belmont Ave,41.940228792087993,-87.6529444112088,6993
casual,Dearborn St & Erie St,41.893931594585645,-87.6295741758419,6825
casual,Canal St & Madison St,41.882405290561906,-87.6397647922267,6793
casual,Dearborn Pkwy & Delaware Pl,41.898968316950672,-87.629913460061516,6730
casual,Lincoln Park Conservatory,41.923933793477325,-87.635825588373,6611
casual,Clinton St & Madison St,41.882589767854142,-87.6411866723136,6605
casual,Buckingham Fountain,41.8710283052598,-87.623238928452736,6401
casual,Michigan Ave & Jackson Blvd,41.878473222274494,-87.6241474985007,6361
member,Kingsbury St & Kinzie St,41.889169742111882,-87.638497373131642,23029
member,Canal St & Madison St,41.882403987538574,-87.639763258678784,22285
member,Clinton St & Washington Blvd,41.883304040477753,-87.641184522757129,21944
member,Clinton St & Madison St,41.882517353902,-87.641185549895539,20440
member,State St & Chicago Ave,41.896616373746433,-87.62858224868134,19688
member,Wells St & Elm St,41.903218181515136,-87.634340691934327,18953
