ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
63FEE2C56AB66560,classic_bike,2026-01-20 17:44:00.127000 UTC,2026-01-21 18:43:55.425000 UTC,Vincennes Ave & 104th St,CHI00861,,,41.704925564997637,-87.656868109588686,,,casual
9BDCB40BA68C1D13,classic_bike,2026-01-29 15:07:56.464000 UTC,2026-01-29 15:30:48.156000 UTC,Damen Ave & 81st St,CHI01545,,,41.746534,-87.673055,,,member
741FB0B75D4396FD,classic_bike,2026-01-07 02:15:30.416000 UTC,2026-01-08 03:15:25.932000 UTC,Vernon Ave & 75th St,CHI00712,,,41.758361,-87.614138,,,casual
386EB13560A4EBF3,classic_bike,2026-01-06 07:25:30.297000 UTC,2026-01-07 08:25:23.953000 UTC,Artesian Ave & Marquette Rd,CHI01793,,,41.77203,-87.684637,,,casual
4F899086B2FEC970,classic_bike,2026-01-14 07:13:13.010000 UTC,2026-01-15 08:13:05.659000 UTC,Artesian Ave & Marquette Rd,CHI01793,,,41.77203,-87.684637,,,casual
D8694181B09C4E33,classic_bike,2026-01-27 22:22:42.415000 UTC,2026-01-28 23:22:25.435000 UTC,Ellis Ave & 60th St,CHI00765,,,41.78509714636,-87.6010727606,,,member
EFA740402AC69954,classic_bike,2026-01-16 19:57:10.855000 UTC,2026-01-17 20:57:04.178000 UTC,Ellis Ave & 60th St,CHI00765,,,41.78509714636,-87.6010727606,,,member
AF21D2EA604EEDD3,classic_bike,2026-01-27 08:01:31.342000 UTC,2026-01-28 09:01:23.230000 UTC,Ellis Ave & 60th St,CHI00765,,,41.78509714636,-87.6010727606,,,member
19611393327BB4EC,classic_bike,2026-01-27 13:03:25.836000 UTC,2026-01-28 14:03:09.949000 UTC,Ellis Ave & 60th St,CHI00765,,,41.78509714636,-87.6010727606,,,casual
A0D4405F81E212E7,classic_bike,2026-01-27 21:16:54.650000 UTC,2026-01-28 22:16:48.922000 UTC,Blackstone Ave & 59th St,CHI01806,,,41.787877,-87.590461,,,member
47384CBCEC3E089F,classic_bike,2026-01-13 07:56:01.631000 UTC,2026-01-14 08:55:39.474000 UTC,Blackstone Ave & 59th St,CHI01806,,,41.787877,-87.590461,,,casual
4BA69C7C2D43B53B,classic_bike,2026-01-27 15:13:30.967000 UTC,2026-01-28 16:13:17.895000 UTC,University Ave & 59th St,CHI01913,,,41.787878,-87.598906,,,member
A910272B5BCF605F,classic_bike,2026-01-16 16:51:48.090000 UTC,2026-01-17 17:51:38.577000 UTC,University Ave & 59th St,CHI01913,,,41.787878,-87.598906,,,member
E927EAB7280DDF38,classic_bike,2026-01-27 15:25:26.621000 UTC,2026-01-28 16:25:18.930000 UTC,University Ave & 59th St,CHI01913,,,41.787878,-87.598906,,,member
4AE836D7BA45AC89,classic_bike,2026-01-27 15:54:14.301000 UTC,2026-01-28 16:54:07.058000 UTC,University Ave & 59th St,CHI01913,,,41.787878,-87.598906,,,member
AC2233C96E45DBCB,classic_bike,2026-01-27 19:26:12.223000 UTC,2026-01-28 20:26:04.615000 UTC,Ellis Ave & 58th St,CHI00460,,,41.788746,-87.601334,,,member
F92709431A738DBE,classic_bike,2026-01-16 16:10:03.736000 UTC,2026-01-17 17:09:50.381000 UTC,Ellis Ave & 58th St,CHI00460,,,41.788746,-87.601334,,,member
981E5A98FBE36E0B,classic_bike,2026-01-16 16:31:43.314000 UTC,2026-01-17 17:31:36.473000 UTC,University Ave & 57th St,CHI00551,,,41.791478,-87.599861,,,casual
09D41C2662941B5E,classic_bike,2026-01-05 20:20:37.211000 UTC,2026-01-06 21:20:29.815000 UTC,University Ave & 57th St,CHI00551,,,41.791478,-87.599861,,,member
5D9754A3FB0E0FB3,classic_bike,2026-01-16 16:19:02.488000 UTC,2026-01-17 17:18:53.889000 UTC,Lake Park Ave & 56th St,CHI00511,,,41.79161,-87.58748,,,member
4AF602932571963E,classic_bike,2026-01-28 10:21:42.941000 UTC,2026-01-29 11:21:35.395000 UTC,Ellis Ave & 55th St,CHI00583,,,41.79430062054,-87.6014497734,,,casual
0BD53E96776137D2,classic_bike,2026-01-04 16:31:07.272000 UTC,2026-01-05 17:30:59.092000 UTC,Ellis Ave & 55th St,CHI00583,,,41.79430062054,-87.6014497734,,,member
0C384424B82DEB8D,classic_bike,2026-01-28 08:20:46.210000 UTC,2026-01-29 09:20:40.026000 UTC,Ellis Ave & 55th St,CHI00583,,,41.79430062054,-87.6014497734,,,member
E31F750BB110CF8B,classic_bike,2026-01-24 10:51:58.331000 UTC,2026-01-25 11:51:38.654000 UTC,Ellis Ave & 55th St,CHI00583,,,41.79430062054,-87.6014497734,,,casual
D1B519F0954547E1,classic_bike,2026-01-03 02:34:42.298000 UTC,2026-01-04 03:34:35.620000 UTC,Shore Dr & 55th St,CHI00394,,,41.795212,-87.580715,,,casual
